site,zone,mean_pct_cover,species_definition,mean_depth,mean_gorg_density,Reef_Type,mean_giantkelp_density_m2,mean_Relief_index,mean_Relief_SD,mean_Substrate_index,mean_Substrate_SD,mean_chl_mg_m3,mean_sst_C,dist_200m_bath,mean_Latitude,mean_Longitude
ANACAPA_EAST_FISH_CAMP_CEN,INNER,14.983333333333334,Muricea californica,7.449999999999999,2.5,Natural Reef,1.28697916666667,0.289166666666667,0.471838130376148,3.70583333333333,0.54294965457564,1.49781360364031,17.2764705882353,1451.92555332031,34.001583,-119.398067
ANACAPA_EAST_FISH_CAMP_CEN,OUTER,72.78333333333333,Eugorgia rubens,14.6,6.111111111111112,Natural Reef,0,0.0556666666666667,0.154024407031076,3.61066666666667,0.631466785315168,1.49781360364031,17.2764705882353,1451.92555332031,34.001583,-119.398067
ANACAPA_EAST_FISH_CAMP_CEN,OUTER,72.78333333333333,Leptogorgia chilensis,13.7,10,Natural Reef,0,0.0556666666666667,0.154024407031076,3.61066666666667,0.631466785315168,1.49781360364031,17.2764705882353,1451.92555332031,34.001583,-119.398067
ANACAPA_EAST_FISH_CAMP_CEN,OUTER,72.78333333333333,Muricea californica,15,11.25,Natural Reef,0,0.0556666666666667,0.154024407031076,3.61066666666667,0.631466785315168,1.49781360364031,17.2764705882353,1451.92555332031,34.001583,-119.398067
ANACAPA_EAST_FISH_CAMP_CEN,OUTER,72.78333333333333,Muricea fruticosa,15.5,1.6666666666666667,Natural Reef,0,0.0556666666666667,0.154024407031076,3.61066666666667,0.631466785315168,1.49781360364031,17.2764705882353,1451.92555332031,34.001583,-119.398067
ANACAPA_EAST_FISH_CAMP_E,OUTER,81.65,Eugorgia rubens,13.4,1.6666666666666667,Natural Reef,0,0.127666666666667,0.254625391324885,3.69416666666667,0.554706774090433,1.76200662662554,17.1935294117647,1768.70140949062,34.0045,-119.385783
ANACAPA_EAST_FISH_CAMP_E,OUTER,81.65,Muricea californica,14,6.666666666666667,Natural Reef,0,0.127666666666667,0.254625391324885,3.69416666666667,0.554706774090433,1.76200662662554,17.1935294117647,1768.70140949062,34.0045,-119.385783
ANACAPA_EAST_FISH_CAMP_E,OUTER,81.65,Muricea fruticosa,9.1,1.6666666666666667,Natural Reef,0,0.127666666666667,0.254625391324885,3.69416666666667,0.554706774090433,1.76200662662554,17.1935294117647,1768.70140949062,34.0045,-119.385783
ANACAPA_EAST_FISH_CAMP_W,INNER,8.9,Leptogorgia chilensis,6.866666666666667,2.2222222222222223,Natural Reef,0.7953125,0.0333333333333333,0.092247258763293,3.411,0.986730804026029,1.88787251668553,17.0295180722892,1690.04017445576,34.003083,-119.404167
ANACAPA_EAST_FISH_CAMP_W,INNER,8.9,Muricea californica,6.8,5.833333333333333,Natural Reef,0.7953125,0.0333333333333333,0.092247258763293,3.411,0.986730804026029,1.88787251668553,17.0295180722892,1690.04017445576,34.003083,-119.404167
